"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U4,U2";"SOIC-8_3.9x4.9mm_P1.27mm";2;"24LC1025";;;
2;"J4";"Samtec_HPM-02-01-x-S_Straight_1x02_Pitch5.08mm";1;"Battery";;;
3;"J6";"Samtec_HPM-04-01-x-S_Straight_1x04_Pitch5.08mm";1;"Conn_01x04_Pin";;;
4;"J1";"Samtec_HPM-04-01-x-S_Straight_1x04_Pitch5.08mm";1;"UART";;;
5;"Y2,Y1";"Crystal_HC49-4H_Vertical";2;"Crystal";;;
6;"D2,D1";"LED_0603_1608Metric";2;"LED";;;
7;"U3";"DIP794W47P254L991H457Q8";1;"DS1337";;;
8;"J5";"Samtec_HPM-06-01-x-S_Straight_1x06_Pitch5.08mm";1;"Conn_01x06_Pin";;;
9;"J3";"Samtec_HPM-04-01-x-S_Straight_1x04_Pitch5.08mm";1;"I2C";;;
10;"C4,C1,C3,C2";"C_0402_1005Metric";4;"C";;;
11;"R1,R6,R5,R2,R4,R8,R3,R7";"R_0603_1608Metric";8;"R";;;
12;"J2";"Samtec_HPM-06-01-x-S_Straight_1x06_Pitch5.08mm";1;"SPI";;;
13;"SW1";"SW_PUSH_6mm_H4.3mm";1;"SW_Push";;;
14;"SW2";"SW_MINI-SPDT-SW";1;"SW_SPDT";;;
15;"U1";"QFP80P900X900X120-32N";1;"ATmega328-P";;;
